ReviewerName;Body;ReviewDate;Rating;ProductId;SourceId
C007;Producto llegó rápido y funciona perfecto. Muy recomendable.;2024-10-23;4;;
C028;Gran relación calidad-precio. Muy recomendable.;2024-10-15;3;;
C035;Entrega correcta, sin comentarios adicionales. OK.;2025-02-02;5;;
C021;Producto recibido, cumple su función. OK.;2025-04-24;4;;
C030;No cumple con lo anunciado, insatisfecho. No volvería a comprar.;2025-03-25;1;;
C021;Muy satisfecho con la compra, lo recomiendo. Muy recomendable.;2025-03-16;3;;
C018;Es lo que esperaba, nada excepcional. OK.;2024-12-03;1;;
C013;Calidad superior, muy contento. Muy recomendable.;2025-01-06;5;;
C031;No cumple con lo anunciado, insatisfecho. No volvería a comprar.;2025-01-27;1;;
C019;Muy satisfecho con la compra, lo recomiendo. Muy recomendable.;2025-04-10;5;;
C031;Envío tardío y producto dañado. No volvería a comprar.;2025-02-08;5;;
C023;Es lo que esperaba, nada excepcional. OK.;2025-04-10;3;;
C008;Es lo que esperaba, nada excepcional. OK.;2025-07-14;5;;
C013;Calidad superior, muy contento. Muy recomendable.;2025-04-25;5;;
C039;Me encanta este producto, excelente calidad. Muy recomendable.;2025-06-06;3;;
C024;Me encanta este producto, excelente calidad. Muy recomendable.;2024-09-16;5;;
C018;Me encanta este producto, excelente calidad. Muy recomendable.;2024-12-04;3;;
C032;Me encanta este producto, excelente calidad. Muy recomendable.;2024-11-24;3;;
C031;Muy satisfecho con la compra, lo recomiendo. Muy recomendable.;2025-08-18;3;;
C008;Entrega correcta, sin comentarios adicionales. OK.;2025-01-05;1;;
C004;Gran relación calidad-precio. Muy recomendable.;2025-04-11;1;;
C008;No cumple con lo anunciado, insatisfecho. No volvería a comprar.;2024-11-07;5;;
C015;Entrega correcta, sin comentarios adicionales. OK.;2025-01-26;4;;
C038;Es lo que esperaba, nada excepcional. OK.;2024-11-26;5;;
C040;Producto recibido, cumple su función. OK.;2025-05-30;2;;
C006;Muy satisfecho con la compra, lo recomiendo. Muy recomendable.;2024-12-05;1;;
C001;Gran relación calidad-precio. Muy recomendable.;2025-01-16;3;;
C015;Producto llegó rápido y funciona perfecto. Muy recomendable.;2024-09-19;4;;
C015;Satisface lo básico. OK.;2024-10-10;2;;
C008;No funciona como esperaba, decepcionado. No volvería a comprar.;2025-04-30;2;;
C004;Producto llegó rápido y funciona perfecto. Muy recomendable.;2024-11-13;5;;
C029;Producto llegó rápido y funciona perfecto. Muy recomendable.;2024-09-20;4;;
C033;No cumple con lo anunciado, insatisfecho. No volvería a comprar.;2025-08-03;5;;
C028;Satisface lo básico. OK.;2025-05-08;1;;
C015;Satisface lo básico. OK.;2024-11-17;1;;
C037;Muy satisfecho con la compra, lo recomiendo. Muy recomendable.;2025-01-16;5;;
C018;Gran relación calidad-precio. Muy recomendable.;2025-02-02;4;;
C031;Producto llegó rápido y funciona perfecto. Muy recomendable.;2025-04-02;1;;
C022;Calidad superior, muy contento. Muy recomendable.;2025-04-19;4;;
C003;Envío tardío y producto dañado. No volvería a comprar.;2025-05-07;3;;
C026;Producto recibido, cumple su función. OK.;2024-10-12;5;;
C027;Gran relación calidad-precio. Muy recomendable.;2025-03-12;5;;
C029;Información suficiente, sin mayor novedad. OK.;2025-04-30;5;;
C019;Calidad superior, muy contento. Muy recomendable.;2025-07-13;1;;
C016;Es lo que esperaba, nada excepcional. OK.;2024-12-05;1;;
C027;Me encanta este producto, excelente calidad. Muy recomendable.;2025-01-20;1;;
C032;Es lo que esperaba, nada excepcional. OK.;2024-12-27;3;;
C031;Información suficiente, sin mayor novedad. OK.;2025-01-23;5;;
C025;Gran relación calidad-precio. Muy recomendable.;2024-12-27;2;;
C018;Entrega correcta, sin comentarios adicionales. OK.;2025-03-23;5;;
C001;Producto llegó rápido y funciona perfecto. Muy recomendable.;2024-11-17;5;;
C010;Calidad superior, muy contento. Muy recomendable.;2025-03-21;3;;
C035;Producto llegó rápido y funciona perfecto. Muy recomendable.;2025-06-09;2;;
C025;Calidad superior, muy contento. Muy recomendable.;2025-08-22;3;;
