UserHandle;Body;CommentDate;ProductId;SourceId
C019;Información suficiente, sin mayor novedad;2025-06-15;;1
;Muy mala calidad, se rompió rápido;2025-08-27;;2
;Gran relación calidad-precio;2025-07-28;;1
;Pésima atención al cliente;2025-09-05;;2
C031;No cumple con lo anunciado, insatisfecho;2025-09-04;;1
;No cumple con lo anunciado, insatisfecho;2025-06-18;;3
C036;No funciona como esperaba, decepcionado;2025-07-20;;2
;Me encanta este producto, excelente calidad;2025-08-25;;1
C021;Información suficiente, sin mayor novedad;2025-07-09;;3
;Gran relación calidad-precio;2025-08-28;;3
;Muy satisfecho con la compra, lo recomiendo;2025-07-01;;1
C040;Satisface lo básico;2025-07-03;;3
;Me encanta este producto, excelente calidad;2025-07-02;;1
;Entrega correcta, sin comentarios adicionales;2025-06-24;;1
C035;Producto llegó rápido y funciona perfecto;2025-08-13;;3
C005;No funciona como esperaba, decepcionado;2025-07-22;;3
C022;Envío tardío y producto dañado;2025-08-04;;1
;Producto llegó rápido y funciona perfecto;2025-07-04;;1
C030;Calidad superior, muy contento;2025-08-26;;2
C025;Entrega correcta, sin comentarios adicionales;2025-08-24;;2
;Información suficiente, sin mayor novedad;2025-07-12;;2
C020;Muy mala calidad, se rompió rápido;2025-07-11;;3
;Producto llegó rápido y funciona perfecto;2025-09-07;;2
C031;Me encanta este producto, excelente calidad;2025-07-20;;2
;Entrega correcta, sin comentarios adicionales;2025-09-08;;3
C036;Gran relación calidad-precio;2025-09-04;;3
C036;Gran relación calidad-precio;2025-06-27;;1
C007;Producto llegó rápido y funciona perfecto;2025-07-29;;1
C033;Muy mala calidad, se rompió rápido;2025-09-09;;2
;Satisface lo básico;2025-08-25;;3
;Gran relación calidad-precio;2025-08-24;;3
;Es lo que esperaba, nada excepcional;2025-08-01;;1
;Pésima atención al cliente;2025-07-15;;3
C008;Satisface lo básico;2025-06-17;;3
C017;Satisface lo básico;2025-08-15;;1
C011;Pésima atención al cliente;2025-08-26;;3
C008;Calidad superior, muy contento;2025-07-22;;3
C014;Pésima atención al cliente;2025-09-06;;3
C036;Calidad superior, muy contento;2025-07-27;;1
;Pésima atención al cliente;2025-07-06;;3
;Es lo que esperaba, nada excepcional;2025-07-14;;1
;Producto llegó rápido y funciona perfecto;2025-08-06;;2
;No cumple con lo anunciado, insatisfecho;2025-07-14;;3
C018;Gran relación calidad-precio;2025-07-06;;1
;Producto llegó rápido y funciona perfecto;2025-08-07;;2
C006;Calidad superior, muy contento;2025-08-12;;1
C035;Gran relación calidad-precio;2025-08-10;;1
C038;Me encanta este producto, excelente calidad;2025-07-08;;1
;Calidad superior, muy contento;2025-07-15;;3
;Gran relación calidad-precio;2025-07-23;;2
C013;Es lo que esperaba, nada excepcional;2025-08-08;;3
