SurveyDate;ProductId;CustomerId;Rating;Comment;SourceId
2025-07-15;;;3;El producto está bien, pero esperaba un poco más de calidad.;
2024-12-07;;;3;Ni malo ni excelente, simplemente regular.;
2025-06-20;;;1;Mala calidad, no lo recomiendo para nada.;
2025-08-17;;;3;El producto está bien, pero esperaba un poco más de calidad.;
2024-10-22;;;5;El producto llegó en perfecto estado y antes de tiempo.;
2025-03-06;;;4;El servicio fue rápido y eficiente, estoy muy satisfecho.;
2025-07-19;;;3;El envío fue normal, dentro del tiempo esperado.;
2025-02-06;;;5;Me encanta, es justo lo que necesitaba.;
2024-09-19;;;5;El servicio fue rápido y eficiente, estoy muy satisfecho.;
2025-05-29;;;5;Me encanta, es justo lo que necesitaba.;
2025-02-07;;;3;El producto está bien, pero esperaba un poco más de calidad.;
2025-05-30;;;3;El producto está bien, pero esperaba un poco más de calidad.;
2025-04-27;;;2;El servicio fue lento y el soporte no resolvió mi problema.;
2025-06-23;;;3;Ni malo ni excelente, simplemente regular.;
2025-04-05;;;1;El producto llegó dañado y no cumplió con lo prometido.;
2025-04-25;;;4;El servicio fue rápido y eficiente, estoy muy satisfecho.;
2024-12-03;;;3;El envío fue normal, dentro del tiempo esperado.;
2025-01-21;;;1;El producto llegó dañado y no cumplió con lo prometido.;
2024-12-07;;;4;Excelente calidad, definitivamente volvería a comprar.;
2025-01-15;;;5;Excelente calidad, definitivamente volvería a comprar.;
2025-03-04;;;2;Mala calidad, no lo recomiendo para nada.;
2025-04-13;;;2;Mala calidad, no lo recomiendo para nada.;
2025-01-30;;;2;El servicio fue lento y el soporte no resolvió mi problema.;
2025-07-13;;;4;El producto superó mis expectativas, muy recomendable.;
2025-07-24;;;2;El servicio fue lento y el soporte no resolvió mi problema.;
2025-08-20;;;5;El producto superó mis expectativas, muy recomendable.;
2025-04-12;;;2;El producto llegó dañado y no cumplió con lo prometido.;
2025-04-08;;;1;El servicio fue lento y el soporte no resolvió mi problema.;
2025-08-06;;;4;El producto llegó en perfecto estado y antes de tiempo.;
2025-02-12;;;3;La experiencia fue aceptable, aunque podría mejorar.;
2024-12-26;;;1;No era lo que esperaba, muy decepcionado.;
2024-09-14;;;5;Excelente calidad, definitivamente volvería a comprar.;
2024-09-18;;;2;El producto llegó dañado y no cumplió con lo prometido.;
2025-09-10;;;5;El servicio fue rápido y eficiente, estoy muy satisfecho.;
2024-12-04;;;1;Mala calidad, no lo recomiendo para nada.;
2024-12-11;;;2;El servicio fue lento y el soporte no resolvió mi problema.;
2025-07-20;;;3;La experiencia fue aceptable, aunque podría mejorar.;
2025-08-29;;;3;El producto cumple su función, nada especial.;
2025-04-02;;;1;El producto llegó dañado y no cumplió con lo prometido.;
2025-07-16;;;5;Me encanta, es justo lo que necesitaba.;
2025-01-19;;;3;El envío fue normal, dentro del tiempo esperado.;
2025-06-13;;;4;El producto superó mis expectativas, muy recomendable.;
2025-01-17;;;1;Mala calidad, no lo recomiendo para nada.;
2025-01-21;;;2;El servicio fue lento y el soporte no resolvió mi problema.;
2025-01-12;;;3;Ni malo ni excelente, simplemente regular.;
2025-05-17;;;5;El servicio fue rápido y eficiente, estoy muy satisfecho.;
2025-03-26;;;2;El servicio fue lento y el soporte no resolvió mi problema.;
2025-08-06;;;5;Excelente calidad, definitivamente volvería a comprar.;
2025-08-25;;;3;La experiencia fue aceptable, aunque podría mejorar.;
2025-09-07;;;2;El producto dejó de funcionar al poco tiempo de usarlo.;
2025-04-15;;;5;Me encanta, es justo lo que necesitaba.;
2024-10-25;;;3;El producto cumple su función, nada especial.;
2024-09-25;;;3;El producto está bien, pero esperaba un poco más de calidad.;
2024-11-10;;;5;El producto llegó en perfecto estado y antes de tiempo.;
2025-01-06;;;2;El producto dejó de funcionar al poco tiempo de usarlo.;
2025-08-09;;;3;El envío fue normal, dentro del tiempo esperado.;
2025-09-03;;;1;El producto llegó dañado y no cumplió con lo prometido.;
2025-08-05;;;2;El producto llegó dañado y no cumplió con lo prometido.;
2025-06-20;;;3;El envío fue normal, dentro del tiempo esperado.;
2025-05-19;;;2;El producto llegó dañado y no cumplió con lo prometido.;
2024-10-08;;;5;El producto superó mis expectativas, muy recomendable.;
2025-02-23;;;3;El envío fue normal, dentro del tiempo esperado.;
2024-11-30;;;5;El servicio fue rápido y eficiente, estoy muy satisfecho.;
2025-06-06;;;5;El producto llegó en perfecto estado y antes de tiempo.;
2025-01-02;;;3;La experiencia fue aceptable, aunque podría mejorar.;
2024-12-10;;;3;El producto está bien, pero esperaba un poco más de calidad.;
2025-04-23;;;1;El servicio fue lento y el soporte no resolvió mi problema.;
2025-07-02;;;1;El producto llegó dañado y no cumplió con lo prometido.;
2025-08-08;;;1;No era lo que esperaba, muy decepcionado.;
2024-12-06;;;1;El producto dejó de funcionar al poco tiempo de usarlo.;
2025-08-15;;;5;El servicio fue rápido y eficiente, estoy muy satisfecho.;
2025-07-07;;;3;La experiencia fue aceptable, aunque podría mejorar.;
2024-11-29;;;5;El servicio fue rápido y eficiente, estoy muy satisfecho.;
2024-10-08;;;5;Me encanta, es justo lo que necesitaba.;
2025-03-21;;;3;El producto está bien, pero esperaba un poco más de calidad.;
2024-11-09;;;5;El servicio fue rápido y eficiente, estoy muy satisfecho.;
2024-10-24;;;2;El producto llegó dañado y no cumplió con lo prometido.;
2024-11-02;;;5;El servicio fue rápido y eficiente, estoy muy satisfecho.;
2025-03-05;;;2;El producto llegó dañado y no cumplió con lo prometido.;
2025-05-28;;;2;El servicio fue lento y el soporte no resolvió mi problema.;
2025-08-13;;;4;Excelente calidad, definitivamente volvería a comprar.;
2025-08-20;;;1;El producto dejó de funcionar al poco tiempo de usarlo.;
2024-09-15;;;2;Mala calidad, no lo recomiendo para nada.;
2025-01-03;;;2;El servicio fue lento y el soporte no resolvió mi problema.;
2024-10-14;;;3;El producto cumple su función, nada especial.;
2025-01-08;;;3;El envío fue normal, dentro del tiempo esperado.;
2024-11-04;;;2;No era lo que esperaba, muy decepcionado.;
2024-12-26;;;5;El producto llegó en perfecto estado y antes de tiempo.;
2025-04-27;;;1;El servicio fue lento y el soporte no resolvió mi problema.;
2025-08-04;;;5;Excelente calidad, definitivamente volvería a comprar.;
2024-11-30;;;3;La experiencia fue aceptable, aunque podría mejorar.;
2025-07-28;;;2;El servicio fue lento y el soporte no resolvió mi problema.;
2024-11-15;;;4;El producto superó mis expectativas, muy recomendable.;
2025-06-11;;;4;El producto llegó en perfecto estado y antes de tiempo.;
2025-04-23;;;5;El producto superó mis expectativas, muy recomendable.;
2025-03-09;;;5;Excelente calidad, definitivamente volvería a comprar.;
2025-02-03;;;1;El servicio fue lento y el soporte no resolvió mi problema.;
2025-03-01;;;3;El producto cumple su función, nada especial.;
2025-03-05;;;3;El producto cumple su función, nada especial.;
2025-08-28;;;4;El producto llegó en perfecto estado y antes de tiempo.;
2024-10-22;;;1;No era lo que esperaba, muy decepcionado.;
2025-07-21;;;4;El producto superó mis expectativas, muy recomendable.;
2024-11-23;;;3;El envío fue normal, dentro del tiempo esperado.;
2024-12-15;;;5;El producto superó mis expectativas, muy recomendable.;
2025-02-13;;;2;El servicio fue lento y el soporte no resolvió mi problema.;
2025-07-17;;;4;El servicio fue rápido y eficiente, estoy muy satisfecho.;
2025-02-02;;;5;El producto superó mis expectativas, muy recomendable.;
2024-12-02;;;4;El servicio fue rápido y eficiente, estoy muy satisfecho.;
2025-01-30;;;3;Ni malo ni excelente, simplemente regular.;
2024-10-25;;;4;Excelente calidad, definitivamente volvería a comprar.;
2025-09-03;;;1;El producto dejó de funcionar al poco tiempo de usarlo.;
2025-04-12;;;3;El envío fue normal, dentro del tiempo esperado.;
2024-09-21;;;3;El producto está bien, pero esperaba un poco más de calidad.;
2025-09-09;;;3;La experiencia fue aceptable, aunque podría mejorar.;
2024-10-30;;;5;El producto llegó en perfecto estado y antes de tiempo.;
2025-08-23;;;2;El producto llegó dañado y no cumplió con lo prometido.;
2025-04-05;;;4;El servicio fue rápido y eficiente, estoy muy satisfecho.;
2024-12-07;;;4;El servicio fue rápido y eficiente, estoy muy satisfecho.;
2024-11-25;;;1;El servicio fue lento y el soporte no resolvió mi problema.;
2025-02-02;;;5;El producto llegó en perfecto estado y antes de tiempo.;
2025-03-18;;;3;El producto cumple su función, nada especial.;
2025-07-25;;;4;El producto llegó en perfecto estado y antes de tiempo.;
